ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
MALAYSIAN PALM SWAP,102,669.05,-84.7%,235.24,-56.6%,172,518,-66.8%
DJ_UBS ROLL SELECT INDEX FUTU,4,8.63,-50.0%,31.24,-86.2%,18,13,46.2%
CHI WHEAT,"196,380","167,943",16.9%,"128,558.48",52.8%,"160,774","142,960",12.5%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
HDD SEASONAL STRIP,0,0,-,0,-,0,0,-
CDD SEASONAL STRIP,0,0,-,0,-,0,0,-
CDD WEATHER,0,0,-,0,-,0,0,-
HDD WEATHER EUROPEAN,0,78.95,-100.0%,0,-,0,38,-100.0%
HDD WEATHER,0,52.63,-100.0%,0,-,0,32,-100.0%
HOUSING INDEX,0,0.95,-100.0%,0,-,0,0,-100.0%
LV CATL CSO,0,22.47,-98.8%,0,-,0,20,-99.4%
MILK,"1,192","1,809.95",-34.2%,"1,520.9",-21.6%,"1,365","1,791",-23.8%
HDD EURO SEASONAL STRIP,0,0,-,0,-,0,0,-
CASH-SETTLED CHEESE,320,456.16,-29.9%,866.86,-63.1%,607,435,39.7%
LIVE CATTLE,"11,691","11,167.37",4.7%,"12,391.81",-5.7%,"12,059","12,100",-0.3%
BUTTER CS,218,43.42,401.0%,107.57,102.2%,160,75,112.2%
LUMBER,105,69.95,50.0%,99,6.0%,102,62,63.7%
DRY WHEY,14,10.32,35.7%,41.52,-66.3%,28,22,29.5%
CLASS IV MILK,83,115.05,-28.2%,45.14,82.9%,63,81,-22.0%
NFD MILK,252,415,-39.4%,186.57,34.8%,217,329,-33.9%
LEAN HOGS,"9,831","10,247.58",-4.1%,"6,866.14",43.2%,"8,275","8,522",-2.9%
FEEDER CATTLE,"1,380","1,044.68",32.1%,"1,785.05",-22.7%,"1,593","1,250",27.4%
MLK MID,2,2.37,2.2%,1.81,33.8%,2,6,-66.0%
JULY-DEC WHEAT CAL SPRD,13,0,-,0,-,6,9,-30.4%
CORN,"76,143","96,539.95",-21.1%,"79,590.52",-4.3%,"77,953","82,800",-5.9%
SOYBEAN MEAL,"21,381","7,589",181.7%,"12,923.48",65.4%,"16,941","8,662",95.6%
SOYBEAN OIL,"7,131","8,168.21",-12.7%,"5,733.81",24.4%,"6,398","7,641",-16.3%
AUG-NOV SOYBEAN CAL SPRD,0,0,-,0,-,0,0,-
DEC-JULY CORN CAL SPRD,0,0,-,0,-,0,15,-100.0%
DEC-DEC CORN CAL SPRD,16,0.53,2910.1%,1,1484.2%,8,30,-72.8%
NOV-JULY SOYBEAN CAL SPRD,0,0,-,0.05,-100.0%,0,0,-
JAN-MAY SOYBEAN CAL SPRD,0,0,-,0,-,0,0,-
NOV-NOV SOYBEAN CAL SPRD,0,0,-,0.43,-100.0%,0,2,-86.3%
ROUGH RICE,52,62.16,-15.7%,102.05,-48.7%,78,70,12.3%
WHEAT,7,0,-,16.05,-58.3%,12,0,-
WHEAT-CORN ICSO,71,92.32,-22.7%,32.86,117.0%,51,63,-18.7%
CORN NEARBY+2 CAL SPRD,100,51.58,93.9%,92.86,7.7%,96,62,55.1%
SOYBN NEARBY+2 CAL SPRD,0,11.05,-100.0%,0,-,0,17,-100.0%
WHEAT NEARBY+2 CAL SPRD,239,86.74,175.2%,47.14,406.4%,138,72,91.5%
JULY-DEC CORN CAL SPRD,17,31.58,-47.5%,4.95,234.8%,10,23,-54.6%
DEC-JULY WHEAT CAL SPRD,0,0,-,0,-,0,0,-
JULY-NOV SOYBEAN CAL SPRD,708,532.53,32.9%,146.33,383.8%,413,601,-31.2%
OATS,20,50.26,-59.8%,21.38,-5.5%,21,66,-68.3%
SOYBEAN,"97,096","61,097.37",58.9%,"64,723.57",50.0%,"80,101","60,736",31.9%
JULY-DEC SOY OIL CAL SPRD,0,5,-100.0%,0,-,0,8,-100.0%
SOYBEAN CRUSH,2,0.26,519.9%,0.48,242.6%,1,3,-61.9%
Intercommodity Spread,84,5.26,1498.0%,234.76,-64.2%,163,5,3066.6%
KC WHEAT,"4,895","1,640.26",198.5%,"4,089.43",19.7%,"4,472","1,601",179.3%
MAR-JULY WHEAT CAL SPRD,0,30.11,-100.0%,9.52,-100.0%,5,35,-85.8%
MAR-JULY CORN CAL SPRD,0,0,-,0,-,0,0,-
CHI WHEAT,"36,225","32,818.58",10.4%,"41,729.43",-13.2%,"39,115","30,731",27.3%
